"sku","name","product.type","product.attribute_set","product.has_options","product.required_options","status","visibility","price","short_description","description","tax_class_id","weight","category.path","special_price","image","small_image","thumbnail","stock.qty"
"10400","Flora Source Multi Probiotic Capsules","simple","Default","No","No","Enabled","Catalog, Search","39.95000","<style type=""text/css""><!--.New1211CatTop	{font-family:Helvetica,Arial,sans-serif;	font-size:15px;	color:#333;	padding-top:25px;	padding-right:15px;	padding-bottom:30px;	padding-left:15px;	line-height:17px}.New1211CatTop h1	{	background-color:transparent!","<style type=""text/css""><!--.New1211CatTop	{font-family:Helvetica,Arial,sans-serif;	font-size:15px;	color:#333;	padding-top:25px;	padding-right:15px;	padding-bottom:30px;	padding-left:15px;	line-height:17px}.New1211CatTop h1	{	background-color:transparent!important;	font-size:26px;	color:#060;	padding-bottom:3px;	border-bottom-width:2px;	border-bottom-style:dotted;	border-bottom-color:#CCC}.New1211CatTop h2 {	font-size: 20px;	margin-top: 15px;	margin-bottom: 25px;}.New1211CatTop p	{	font-family:Helvetica, Arial, sans-serif;	font-size:15px;	line-height:normal;	color:#333;	margin-bottom:25px}.New1211CatTop p a	{color:#645A5A;	font-weight:bold}.New1211CatTop p a:hover	{background-color:#333;	text-decoration:none;	color:#FFF}.NewCatHeadimg	{padding-top:25px;	padding-right:15px;	padding-bottom:5px;	padding-left:15px;	position:relative}.New1211CatTop ul	{	margin-top:20px;	margin-left:25px;	padding-left:1em;	color:#333;	list-style-type:square}.New1211CatTop ul li	{margin-bottom:6px}--></style><div class=""New1211CatTop"">  <h1>Nutri-Health <strong>Flora Source</strong></h1>  <h2><strong>Reduce  Embarrassing Gas, Bloating and Constipation</strong>  </h2>  <p><strong>Flora  Source </strong>features  16 strains of active, friendly bacteria plus scFOS&reg; prebiotic fiber.  Each daily dose (two capsules) of this gut-healthy probiotic formula  gives you <em>32  billion colony forming units of the most powerful strains available.</em></p>  <h2><strong>How will Flora  Source benefit your health?</strong></h2>  <p>Delivering  friendly bacteria to your gut helps restore healthy balance to your  digestive system and keep it running smoothly. The broad spectrum of  strains of probiotics found in <strong>Flora  Source</strong> work together for advanced performance&#8230;</p>  <ul>    <li>Supports regular bowel movements</li>    <li>Promotes good digestion and colon health</li>    <li>Reduces gas and flatulence</li>    <li>Decreases  instances of constipation</li>    <li>Protects healthy  bacteria when taking antibiotics</li>    <li>Eases  gurgling and regurgitation</li>    <li>Improves nausea  symptoms </li>  </ul><h2><strong>Why choose Flora  Source?</strong>  </h2>  <p> <strong>Flora  Source</strong><strong> includes a powerhouse strain of friendly bacteria you won’t find in  most commercially-available formulas. </strong></p>  <p>Bif  Relief 24-7&#8482; (<em>Bifidobacterium  lactis</em> <em>HN019</em>)  is the first probiotic strain to be tested in humans shown to be  effective in relieving the seven most common digestive problems:  constipation, irregular bowel movements, flatulence, regurgitation,  abdominal pain, nausea and a gurgling gut. </p>  <p> In <strong>Flora  Source</strong>,  you get Bif Relief, plus 15 carefully selected probiotic strains, and  scFOS&reg; prebiotic fiber to help nourish and strengthen the  probiotics.  </p>  <p> The  breakthrough ingredients in <strong>Flora  Source</strong> are specially encapsulated with the patented Matrix Encapsulation  process, which protects them from stomach acid en route to your  intestines, where they’re needed most. </p><p style=""font-size:9px"">* These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</p></div>","Taxable Goods","1.00","","","http://www.nutri-health.com/images/products/10400.png","","http://www.nutri-health.com/images/products/thumbs/10400.jpg","51293"
"11508","TruBone Complete - New!","simple","Default","No","No","Enabled","Catalog, Search","39.95000","<p><span style=""font-size: large;""><b>NEW -&nbsp; TruBone Complete - a Breakthrough in Bone Health!<br /></b></span></p><p><span style=""font-size: medium;"">Experience the NEW Breakthrough in Bone Health! TruBone Complete&trade; combines clinically researc","<p><span style=""font-size: large;""><b>NEW -&nbsp; TruBone Complete - a Breakthrough in Bone Health!<br /></b></span></p><p><span style=""font-size: medium;"">Experience the NEW Breakthrough in Bone Health! TruBone Complete&trade; combines clinically researched ingredients to strengthen your bones from the inside out.<br /><br /></span></p><ul><li><span style=""font-size: medium;"">Stimulates bone growth and slows down bone loss</span></li><li><span style=""font-size: medium;"">Maximizes benefits of dietary calcium</span></li><li><span style=""font-size: medium;"">Is an easy to take, non-calcium, one-a-day capsule</span></li></ul><p>&nbsp;</p><p><b><span style=""font-size: large;"">Why Try TruBone Complete?</span></b></p><p><span style=""font-size: medium;"">During the aging process, bones naturally become thinner and more  brittle. Old bone is broken down faster than your body can make new  bone. And now we know why&hellip;</span></p><p><span style=""font-size: medium;""> </span></p><p><span style=""font-size: medium;"">Bone health isn&rsquo;t just about shoring up the outer bone with calcium.  It&rsquo;s about actually creating new bone &ndash; from the inside out. But no  calcium supplement will do that.</span></p><p><span style=""font-size: medium;""><br /></span></p><h3 class=""Clearfix""><span style=""font-size: large;""><strong>TruBone Complete helps preserve and widen the surface of inner bone to&hellip;</strong></span></h3><p><span style=""font-size: large;""> </span></p><ul><li><span style=""font-size: medium;"">Boost bone-building Osteoblast cells by up to a whopping 20%&nbsp;</span></li><li><span style=""font-size: medium;"">Promote collagen production so calcium sticks to your  bones &ndash; providing a ""whole bone"" solution that strengthens and supports  both inner and outer bone</span></li><li><span style=""font-size: medium;"">Create new, healthy, youthfully strong and flexible bones the only way possible &ndash; from the inside out! </span></li></ul><p><span style=""font-size: medium;""><br />Make TruBone Complete&trade; an integral part of your daily bone health program including calcium-rich foods, exercise and supplementation.<br /></span></p>","Taxable Goods","1.00","","","http://www.nutri-health.com/images/products/11508.png","","http://www.nutri-health.com/images/products/thumbs/11508.jpg","807"
"11709","NH-D3 Spray - NEW!","simple","Default","No","No","Enabled","Catalog, Search","9.95000","<p><span style=""font-size: x-large;""><span style=""color: #333333;""><b>New! - NH-D3 Spray is your choice for a daily health formula!</b></span></span></p><p>&nbsp;</p><p><span style=""font-size: medium;"">Research  suggests that healthy levels of Vitamin D3 ","<p><span style=""font-size: x-large;""><span style=""color: #333333;""><b>New! - NH-D3 Spray is your choice for a daily health formula!</b></span></span></p><p>&nbsp;</p><p><span style=""font-size: medium;"">Research  suggests that healthy levels of Vitamin D3 (in the form of  cholecalciferol) may support the body at the cellular level to maintain  heart, joint, bone and muscle health, promote a healthy mood, and  support a normal, healthy immune response.</span></p><p>&nbsp;</p><p>&nbsp;</p><p><span style=""font-size: medium;""></span></p><p>&nbsp;</p>","Taxable Goods","1.00","","","http://www.nutri-health.com/images/products/11709.png","","http://www.nutri-health.com/images/products/thumbs/11709.jpg","3570"
"11703","NH-D3 Cellular Health Support*","simple","Default","No","No","Enabled","Catalog, Search","9.95000","<p><span style=""font-size: x-large;""><span style=""color: #333333;""><b>NH-D3 Cellular Health Support* is your choice for a daily health formula!</b></span></span></p><ul><li><span style=""color: #333333;""><b><span style=""font-size: medium;""><span style=""col","<p><span style=""font-size: x-large;""><span style=""color: #333333;""><b>NH-D3 Cellular Health Support* is your choice for a daily health formula!</b></span></span></p><ul><li><span style=""color: #333333;""><b><span style=""font-size: medium;""><span style=""color: #993300;""><span style=""font-size: large;"">Promotes joint, muscle, brain &amp; immune health</span></span></span></b></span></li><li><span style=""color: #333333;""><b><span style=""font-size: medium;""><span style=""color: #993300;""><span style=""font-size: large;"">Support healthy mood</span></span></span></b></span></li></ul><p><span style=""color: #333333;""><b><span style=""font-size: medium;""><span style=""color: #993300;""><span style=""font-size: large;""></span></span><br /></span></b></span></p><p><span style=""color: #333333;""><b><span style=""font-size: medium;"">NH-D3 is a ""fully active"" supplement with no inactive fillers, featuring:</span></b></span></p><ul><li><span style=""color: #333333;""><span style=""font-size: medium;"">Swiss-sourced Vitamin D3 and<br /></span></span></li><li><span style=""color: #333333;""><span style=""font-size: medium;"">scFOS&reg; prebiotics</span></span></li></ul><p>&nbsp;</p><p><span style=""font-size: medium;"">Research suggests that healthy levels of Vitamin D3 (in the form of cholecalciferol) may support the body at the cellular level to maintain heart, joint, bone and muscle health, promote a healthy mood, and support a normal, healthy immune response.</span></p><p>&nbsp;</p><p><span style=""font-size: x-small;"">Suggested Use: Adults take up to 2 capsules daily following a meal.</span></p><p><span style=""font-size: medium;""></span></p><p>&nbsp;</p>","Taxable Goods","1.00","","","http://www.nutri-health.com/images/products/11703.png","","http://www.nutri-health.com/images/products/thumbs/11703.jpg","2880"
